ACCIDENT_NO,ATMOSPH_COND_DESC,ATMOSPH_INDEX
T20180008030,Clear,1.0
T20180008031,Clear,1.0
T20180008033,Clear,1.0
T20180008034,Clear,1.0
T20180008038,Clear,1.0
T20180008046,Raining,3.0
T20180008047,Clear,1.0
T20180008048,Clear,1.0
T20180008051,Clear,1.0
T20180008055,Clear,1.0
T20180008056,Clear,1.0
T20180008058,Clear,1.0
T20180008062,Clear,1.0
T20180008063,Clear,1.0
T20180008064,Clear,1.0
T20180008066,Clear,1.0
T20180008067,Clear,1.0
T20180008070,Clear,1.0
T20180008071,"Clear, Dust",3.0
T20180008076,Clear,1.0
T20180008077,Clear,1.0
T20180008079,Clear,1.0
T20180008082,Clear,1.0
T20180008083,Clear,1.0
T20180008085,Clear,1.0
T20180008087,Clear,1.0
T20180008088,Clear,1.0
T20180008089,Clear,1.0
T20180008090,Clear,1.0
T20180008091,Clear,1.0
T20180008095,Fog,6.0
T20180008096,Clear,1.0
T20180008097,Clear,1.0
T20180008099,Clear,1.0
T20180008101,Clear,1.0
T20180008104,Clear,1.0
T20180008105,Clear,1.0
T20180008106,Clear,1.0
T20180008107,Clear,1.0
T20180008110,Clear,1.0
T20180008111,Clear,1.0
T20180008114,Clear,1.0
T20180008116,Clear,1.0
T20180008117,Clear,1.0
T20180008121,Clear,1.0
T20180008122,"Raining, Strong winds",2.33
T20180008123,Clear,1.0
T20180008130,Clear,1.0
T20180008131,Clear,1.0
T20180008134,Clear,1.0
T20180008137,Raining,3.0
T20180008140,Clear,1.0
T20180008141,Clear,1.0
T20180008142,Clear,1.0
T20180008143,Clear,1.0
T20180008144,Clear,1.0
T20180008148,Clear,1.0
T20180008149,Clear,1.0
T20180008150,Clear,1.0
T20180008154,Clear,1.0
T20180008156,Clear,1.0
T20180008157,Clear,1.0
T20180008159,Clear,1.0
T20180008163,Clear,1.0
T20180008167,Clear,1.0
T20180008169,Clear,1.0
T20180008171,Clear,1.0
T20180008172,Clear,1.0
T20180008173,Clear,1.0
T20180008175,Clear,1.0
T20180008176,Clear,1.0
T20180008179,Clear,1.0
T20180008180,"Dust, Smoke",4.67
T20180008182,Clear,1.0
T20180008183,Raining,3.0
T20180008186,Clear,1.0
T20180008187,Clear,1.0
T20180008188,Clear,1.0
T20180008193,Clear,1.0
T20180008194,Clear,1.0
T20180008196,Clear,1.0
