ACCIDENT_NO,SURFACE_COND_DESC,SURFACE_INDEX
T20210013089,Dry,1.0
T20210013091,Dry,1.0
T20210013093,Dry,1.0
T20210013096,Dry,1.0
T20210013097,Dry,1.0
T20210013099,Dry,1.0
T20210013100,Wet,2.0
T20210013102,Dry,1.0
T20210013111,Dry,1.0
T20210013112,Dry,1.0
T20210013114,Dry,1.0
T20210013115,Dry,1.0
T20210013118,Dry,1.0
T20210013119,Dry,1.0
T20210013120,Wet,2.0
T20210013122,Wet,2.0
T20210013124,Wet,2.0
T20210013125,Wet,2.0
T20210013128,Dry,1.0
T20210013129,Dry,1.0
T20210013130,Dry,1.0
T20210013131,Dry,1.0
T20210013137,Dry,1.0
T20210013138,Dry,1.0
T20210013140,Dry,1.0
T20210013141,Dry,1.0
T20210013142,Dry,1.0
T20210013145,Dry,1.0
T20210013148,Wet,2.0
T20210013151,Dry,1.0
T20210013152,Dry,1.0
T20210013153,Dry,1.0
T20210013156,Dry,1.0
T20210013158,Dry,1.0
T20210013161,Dry,1.0
T20210013168,Dry,1.0
T20210013169,Wet,2.0
T20210013174,Dry,1.0
T20210013175,Dry,1.0
T20210013178,Dry,1.0
T20210013182,Wet,2.0
T20210013184,Dry,1.0
T20210013186,Dry,1.0
T20210013187,Wet,2.0
T20210013188,Wet,2.0
T20210013189,Wet,2.0
T20210013191,Dry,1.0
T20210013193,Wet,2.0
T20210013196,Wet,2.0
T20210013200,Muddy,3.0
T20210013201,Wet,2.0
T20210013203,Dry,1.0
T20210013206,Dry,1.0
T20210013208,Dry,1.0
T20210013211,Dry,1.0
T20210013215,Dry,1.0
T20210013219,Dry,1.0
T20210013220,Dry,1.0
T20210013223,Dry,1.0
T20210013226,Wet,2.0
T20210013231,Dry,1.0
T20210013232,Dry,1.0
T20210013237,Dry,1.0
T20210013238,Wet,2.0
